Vertices,Gen set,Diameter,Average distance,BW,Connections
1257,1 146,25,16.7197,294,2514
1257,1 353,25,16.7197,708,2514
1257,2 292,25,16.7197,588,2514
1257,2 551,25,16.7197,1106,2514
1257,4 155,25,16.7197,318,2514
1257,4 584,25,16.7197,1176,2514
1257,5 508,25,16.7197,1026,2514
1257,5 527,25,16.7197,1064,2514
1257,7 43,25,16.7197,100,2514
1257,7 235,25,16.7197,484,2514
1257,8 89,25,16.7197,194,2514
1257,8 310,25,16.7197,636,2514
1257,10 203,25,16.7197,426,2514
1257,10 241,25,16.7197,502,2514
1257,11 112,25,16.7197,246,2514
1257,11 349,25,16.7197,720,2514
1257,13 439,25,16.7197,904,2514
1257,13 616,25,16.7197,1258,2514
1257,14 86,25,16.7197,200,2514
1257,14 470,25,16.7197,968,2514
1257,16 178,25,16.7197,388,2514
1257,16 620,25,16.7197,1272,2514
1257,17 32,25,16.7197,98,2514
1257,17 284,25,16.7197,602,2514
1257,19 260,25,16.7197,558,2514
1257,19 422,25,16.7197,882,2514
1257,20 406,25,16.7197,852,2514
1257,20 482,25,16.7197,1004,2514
1257,22 224,25,16.7197,492,2514
1257,22 559,25,16.7197,1162,2514
1257,23 413,25,16.7197,872,2514
1257,23 577,25,16.7197,1200,2514
1257,25 26,25,16.7197,102,2514
1257,25 121,25,16.7197,292,2514
1257,26 379,25,16.7197,810,2514
1257,28 172,25,16.7197,400,2514
1257,28 317,25,16.7197,690,2514
1257,29 181,25,16.7197,420,2514
1257,29 463,25,16.7197,984,2514
1257,31 370,25,16.7197,802,2514
1257,31 502,25,16.7197,1066,2514
1257,32 356,25,16.7197,776,2514
1257,34 64,25,16.7197,196,2514
1257,34 568,25,16.7197,1204,2514
1257,35 82,25,16.7197,234,2514
1257,35 215,25,16.7197,500,2514
1257,37 374,25,16.7197,822,2514
1257,37 491,25,16.7197,1056,2514
1257,38 413,25,16.7197,902,2514
1257,38 520,25,16.7197,1116,2514
1257,40 293,25,16.7197,666,2514
1257,40 445,25,16.7197,970,2514
1257,41 299,25,16.7197,680,2514
1257,41 611,25,16.7197,1304,2514
1257,43 95,25,16.7197,276,2514
1257,44 139,25,16.7197,366,2514
1257,44 448,25,16.7197,984,2514
1257,46 103,25,16.7197,298,2514
1257,46 431,25,16.7197,954,2514
1257,47 250,25,16.7197,594,2514
1257,47 577,25,16.7197,1248,2514
1257,49 301,25,16.7197,700,2514
1257,49 388,25,16.7197,874,2514
1257,50 52,25,16.7197,204,2514
1257,50 242,25,16.7197,584,2514
1257,52 499,25,16.7197,1102,2514
1257,53 146,25,16.7197,398,2514
1257,53 196,25,16.7197,498,2514
1257,55 488,25,16.7197,1086,2514
1257,55 560,25,16.7197,1230,2514
1257,56 344,25,16.7197,800,2514
1257,56 623,25,16.7197,1358,2514
1257,58 331,25,16.7197,778,2514
1257,58 362,25,16.7197,840,2514
1257,59 185,25,16.7197,488,2514
1257,59 542,25,16.7197,1202,2514
1257,61 107,25,16.7197,336,2514
1257,61 164,25,16.7197,450,2514
1257,62 253,25,16.7197,630,2514
1257,62 517,25,16.7197,1158,2514
1257,64 545,25,16.7197,1218,2514
1257,65 319,25,16.7197,768,2514
1257,65 566,25,16.7197,1262,2514
1257,67 232,25,16.7197,598,2514
1257,67 274,25,16.7197,682,2514
1257,68 121,25,16.7197,378,2514
1257,68 128,25,16.7197,392,2514
1257,70 164,25,16.7197,468,2514
1257,70 430,25,16.7197,1000,2514
1257,71 77,25,16.7197,296,2514
1257,71 310,25,16.7197,762,2514
1257,73 602,25,16.7197,1350,2514
1257,73 628,25,16.7197,1402,2514
1257,74 275,25,16.7197,698,2514
