Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
318,1 48,13,8.40694,98,636
318,5 78,13,8.40694,166,636
318,6 73,13,8.40694,158,636
318,6 139,13,8.40694,290,636
318,7 18,13,8.40694,50,636
318,11 108,13,8.40694,238,636
318,12 13,13,8.40694,50,636
318,12 119,13,8.40694,262,636
318,17 138,13,8.40694,310,636
318,18 113,13,8.40694,262,636
318,19 42,13,8.40694,122,636
318,23 150,13,8.40694,346,636
318,24 79,13,8.40694,206,636
318,24 133,13,8.40694,314,636
318,25 72,13,8.40694,194,636
318,29 120,13,8.40694,298,636
318,30 47,13,8.40694,154,636
318,30 59,13,8.40694,178,636
318,31 102,13,8.40694,266,636
318,35 90,13,8.40694,250,636
318,36 67,13,8.40694,206,636
318,36 145,13,8.40694,362,636
318,37 132,13,8.40694,338,636
318,41 60,13,8.40694,202,636
318,42 125,13,8.40694,334,636
318,43 156,13,8.40694,398,636
318,48 107,13,8.40694,310,636
318,49 126,13,8.40694,350,636
318,54 85,13,8.40694,278,636
318,54 127,13,8.40694,362,636
318,55 96,13,8.40694,302,636
318,60 65,13,8.40694,250,636
318,61 66,13,8.40694,254,636
318,66 151,13,8.40694,434,636
318,71 90,13,8.40694,322,636
318,72 131,13,8.40694,406,636
318,77 120,13,8.40694,394,636
318,78 101,13,8.40694,358,636
318,83 150,13,8.40694,466,636
318,84 91,13,8.40694,350,636
318,84 121,13,8.40694,410,636
318,89 138,13,8.40694,454,636
318,95 108,13,8.40694,406,636
318,96 157,13,8.40694,506,636
318,97 114,13,8.40694,422,636
318,102 137,13,8.40694,478,636
318,103 144,13,8.40694,494,636
318,109 144,13,8.40694,506,636
318,114 115,13,8.40694,458,636
318,126 155,13,8.40694,562,636
318,132 143,13,8.40694,550,636
318,149 156,13,8.40694,610,636
