Vertices,Gen set,Diameter,Average distance,BW,Connections
1300,1 49,26,17.0131,100,2600
1300,1 51,26,17.0131,104,2600
1300,1 53,26,17.0131,108,2600
1300,1 103,26,17.0131,208,2600
1300,1 105,26,17.0131,212,2600
1300,1 149,26,17.0131,300,2600
1300,1 151,26,17.0131,304,2600
1300,1 155,26,17.0131,312,2600
1300,1 157,26,17.0131,316,2600
1300,1 207,26,17.0131,416,2600
1300,1 209,26,17.0131,420,2600
1300,1 249,26,17.0131,500,2600
1300,1 251,26,17.0131,504,2600
1300,1 311,26,17.0131,624,2600
1300,1 313,26,17.0131,628,2600
1300,1 349,26,17.0131,700,2600
1300,1 351,26,17.0131,704,2600
1300,1 363,26,17.0131,728,2600
1300,1 365,26,17.0131,732,2600
1300,1 415,26,17.0131,832,2600
1300,1 417,26,17.0131,836,2600
1300,1 449,26,17.0131,900,2600
1300,1 451,26,17.0131,904,2600
1300,1 467,26,17.0131,936,2600
1300,1 469,26,17.0131,940,2600
1300,1 549,26,17.0131,1100,2600
1300,1 551,26,17.0131,1104,2600
1300,1 571,26,17.0131,1144,2600
1300,1 573,26,17.0131,1148,2600
1300,1 623,26,17.0131,1248,2600
1300,1 625,26,17.0131,1252,2600
