Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
235,1 6 36 89,5,3.25641,264,940
235,1 6 39 54,5,3.25641,200,940
235,1 8 27 68,5,3.25641,208,940
235,1 9 39 111,5,3.25641,320,940
235,1 9 41 87,5,3.25641,276,940
235,1 10 55 87,5,3.25641,306,940
235,1 12 30 80,5,3.25641,246,940
235,1 13 45 81,5,3.25641,280,940
235,1 15 35 112,5,3.25641,326,940
235,1 15 40 107,5,3.25641,326,940
235,1 17 30 70,5,3.25641,236,940
235,1 18 48 105,5,3.25641,344,940
235,1 19 34 46,5,3.25641,200,940
235,1 23 40 50,5,3.25641,228,940
235,1 26 66 74,5,3.25641,334,940
235,1 26 88 109,5,3.25641,448,940
235,1 27 35 75,5,3.25641,276,940
235,1 29 34 76,5,3.25641,280,940
235,1 29 93 105,5,3.25641,456,940
235,1 30 40 46,5,3.25641,234,940
235,1 38 69 86,5,3.25641,388,940
235,1 46 66 81,5,3.25641,388,940
235,1 46 75 100,5,3.25641,444,940
235,1 65 83 95,5,3.25641,488,940
235,1 76 89 99,5,3.25641,530,940
235,1 80 92 100,5,3.25641,546,940
235,1 85 98 115,5,3.25641,598,940
