Vertices,Gen set,Diameter,Average distance,BW,Connections
603,1 25 272,8,5.71429,596,1809
603,1 35 193,8,5.71429,458,1809
603,1 184 224,8,5.71429,818,1809
603,1 96 180,8,5.7309,554,1809
603,1 95 147,8,5.73422,486,1809
603,1 146 246,8,5.73422,786,1809
603,1 88 275,8,5.73754,728,1809
603,1 142 273,8,5.73754,832,1809
603,1 182 265,8,5.73754,896,1809
603,1 185 223,8,5.73754,818,1809
603,1 210 293,8,5.73754,1008,1809
603,1 264 285,8,5.74751,1100,1809
603,1 11 133,8,5.7608,290,1809
603,1 56 68,8,5.7608,250,1809
603,1 68 145,8,5.7608,428,1809
603,1 128 140,8,5.7608,538,1809
603,1 133 212,8,5.7608,692,1809
603,1 262 274,8,5.7608,1074,1809
603,1 269 279,8,5.7608,1098,1809
603,1 84 156,8,5.76412,482,1809
603,1 48 58,8,5.77076,214,1809
603,1 52 84,8,5.77076,274,1809
603,1 57 92,8,5.77409,300,1809
603,1 59 255,8,5.77409,630,1809
603,1 9 109,8,5.77741,238,1809
603,1 11 231,8,5.77741,486,1809
603,1 12 134,8,5.77741,294,1809
603,1 21 274,8,5.77741,592,1809
603,1 55 67,8,5.77741,246,1809
603,1 67 296,8,5.77741,728,1809
603,1 72 260,8,5.77741,666,1809
603,1 81 96,8,5.77741,356,1809
603,1 9 92,8,5.78073,204,1809
603,1 10 132,8,5.78073,286,1809
603,1 10 252,8,5.78073,526,1809
603,1 59 72,8,5.78073,264,1809
603,1 181 216,8,5.78073,796,1809
603,1 181 228,8,5.78073,820,1809
603,1 55 297,8,5.78738,706,1809
603,1 126 296,8,5.78738,846,1809
603,1 11 229,8,5.7907,482,1809
603,1 34 274,8,5.7907,618,1809
603,1 79 266,8,5.7907,692,1809
603,1 51 60,8,5.79402,224,1809
603,1 37 198,8,5.80399,472,1809
603,1 44 54,8,5.80399,198,1809
603,1 81 233,8,5.80399,630,1809
603,1 134 162,8,5.80399,594,1809
603,1 163 288,8,5.80399,904,1809
603,1 39 67,8,5.80731,214,1809
603,1 114 295,8,5.80731,820,1809
603,1 139 168,8,5.80731,616,1809
603,1 117 197,8,5.81063,630,1809
603,1 180 251,8,5.81063,864,1809
603,1 46 54,8,5.81395,202,1809
603,1 118 261,8,5.81395,760,1809
603,1 11 135,8,5.81728,294,1809
603,1 56 66,8,5.81728,246,1809
603,1 73 207,8,5.81728,562,1809
603,1 78 267,8,5.81728,692,1809
603,1 135 190,8,5.81728,652,1809
603,1 140 195,8,5.81728,672,1809
603,1 207 274,8,5.81728,964,1809
603,1 267 279,8,5.81728,1094,1809
603,1 9 107,8,5.83056,234,1809
603,1 45 62,8,5.83056,216,1809
603,1 21 143,8,5.83721,330,1809
603,1 114 253,8,5.83721,736,1809
603,1 8 252,8,5.84385,522,1809
603,1 226 270,8,5.84385,994,1809
603,1 49 223,9,5.70764,546,1809
603,1 103 160,9,5.70764,528,1809
603,1 265 281,9,5.70764,1094,1809
603,1 16 182,9,5.71096,398,1809
603,1 64 113,9,5.71096,356,1809
603,1 179 275,9,5.71096,910,1809
603,1 60 170,9,5.71761,462,1809
603,1 177 188,9,5.71761,732,1809
603,1 34 92,9,5.72425,254,1809
603,1 59 197,9,5.72425,514,1809
603,1 80 249,9,5.72425,660,1809
603,1 98 282,9,5.72425,762,1809
603,1 251 266,9,5.72425,1036,1809
603,1 50 64,9,5.72757,230,1809
603,1 84 198,9,5.72757,566,1809
603,1 95 179,9,5.72757,550,1809
603,1 146 205,9,5.72757,704,1809
603,1 13 177,9,5.7309,382,1809
603,1 35 273,9,5.7309,618,1809
603,1 45 146,9,5.7309,384,1809
603,1 54 95,9,5.7309,300,1809
603,1 59 263,9,5.7309,646,1809
603,1 60 232,9,5.7309,586,1809
603,1 76 92,9,5.7309,338,1809
603,1 94 119,9,5.7309,428,1809
603,1 224 249,9,5.7309,948,1809
603,1 17 140,9,5.73422,316,1809
603,1 20 88,9,5.73422,218,1809
603,1 33 216,9,5.73422,500,1809
603,1 56 254,9,5.73422,622,1809
603,1 71 292,9,5.73422,728,1809
603,1 74 272,9,5.73422,694,1809
603,1 82 185,9,5.73422,536,1809
603,1 105 279,9,5.73422,770,1809
603,1 125 211,9,5.73422,674,1809
603,1 143 220,9,5.73422,728,1809
603,1 184 253,9,5.73422,876,1809
603,1 23 271,9,5.73754,590,1809
603,1 38 236,9,5.73754,550,1809
603,1 51 291,9,5.73754,686,1809
603,1 89 238,9,5.73754,656,1809
603,1 129 142,9,5.73754,544,1809
603,1 192 293,9,5.73754,972,1809
603,1 252 282,9,5.73754,1070,1809
603,1 15 178,9,5.74086,388,1809
603,1 28 177,9,5.74086,412,1809
603,1 35 129,9,5.74086,330,1809
603,1 35 239,9,5.74086,550,1809
603,1 48 224,9,5.74086,546,1809
603,1 78 166,9,5.74086,490,1809
603,1 114 280,9,5.74086,790,1809
603,1 131 224,9,5.74086,712,1809
603,1 162 178,9,5.74086,682,1809
603,1 164 290,9,5.74086,910,1809
603,1 166 243,9,5.74086,820,1809
603,1 15 141,9,5.74419,314,1809
603,1 19 87,9,5.74419,214,1809
603,1 19 223,9,5.74419,486,1809
603,1 20 127,9,5.74419,296,1809
603,1 28 214,9,5.74419,486,1809
603,1 31 84,9,5.74419,232,1809
603,1 31 265,9,5.74419,594,1809
603,1 40 95,9,5.74419,272,1809
603,1 70 158,9,5.74419,458,1809
603,1 73 196,9,5.74419,540,1809
603,1 74 287,9,5.74419,724,1809
603,1 112 209,9,5.74419,644,1809
603,1 114 214,9,5.74419,658,1809
603,1 127 195,9,5.74419,646,1809
603,1 146 190,9,5.74419,674,1809
603,1 175 220,9,5.74419,792,1809
603,1 176 187,9,5.74419,728,1809
603,1 208 286,9,5.74419,990,1809
603,1 211 265,9,5.74419,954,1809
603,1 223 280,9,5.74419,1008,1809
603,1 20 218,9,5.74751,478,1809
603,1 51 281,9,5.74751,666,1809
603,1 103 174,9,5.74751,556,1809
603,1 124 273,9,5.74751,796,1809
603,1 130 188,9,5.74751,638,1809
603,1 142 264,9,5.74751,814,1809
603,1 168 248,9,5.74751,834,1809
603,1 168 293,9,5.74751,924,1809
603,1 170 211,9,5.74751,764,1809
603,1 10 167,9,5.75083,356,1809
603,1 14 248,9,5.75083,526,1809
603,1 15 164,9,5.75083,360,1809
603,1 24 188,9,5.75083,426,1809
603,1 30 107,9,5.75083,276,1809
603,1 33 239,9,5.75083,546,1809
603,1 43 190,9,5.75083,468,1809
603,1 47 65,9,5.75083,226,1809
603,1 51 62,9,5.75083,228,1809
603,1 59 139,9,5.75083,398,1809
603,1 73 124,9,5.75083,396,1809
603,1 77 181,9,5.75083,518,1809
603,1 82 295,9,5.75083,756,1809
603,1 92 125,9,5.75083,436,1809
603,1 97 246,9,5.75083,688,1809
603,1 102 230,9,5.75083,666,1809
603,1 141 170,9,5.75083,624,1809
603,1 147 210,9,5.75083,716,1809
603,1 28 128,9,5.75415,314,1809
603,1 42 54,9,5.75415,194,1809
603,1 51 81,9,5.75415,266,1809
603,1 54 186,9,5.75415,482,1809
603,1 56 79,9,5.75415,272,1809
603,1 62 112,9,5.75415,350,1809
603,1 65 230,9,5.75415,592,1809
603,1 66 282,9,5.75415,698,1809
603,1 70 119,9,5.75415,380,1809
603,1 70 219,9,5.75415,580,1809
603,1 76 107,9,5.75415,368,1809
603,1 81 95,9,5.75415,354,1809
603,1 81 269,9,5.75415,702,1809
603,1 94 212,9,5.75415,614,1809
603,1 97 275,9,5.75415,746,1809
603,1 112 195,9,5.75415,616,1809
603,1 140 206,9,5.75415,694,1809
603,1 146 234,9,5.75415,762,1809
603,1 161 229,9,5.75415,782,1809
603,1 167 182,9,5.75415,700,1809
603,1 263 280,9,5.75415,1088,1809
603,1 267 282,9,5.75415,1100,1809
603,1 14 222,9,5.75748,474,1809
603,1 22 79,9,5.75748,204,1809
603,1 26 189,9,5.75748,432,1809
603,1 31 137,9,5.75748,338,1809
603,1 43 102,9,5.75748,292,1809
603,1 45 204,9,5.75748,500,1809
603,1 60 146,9,5.75748,414,1809
603,1 95 273,9,5.75748,738,1809
603,1 116 216,9,5.75748,666,1809
603,1 124 218,9,5.75748,686,1809
603,1 126 273,9,5.75748,800,1809
603,1 130 161,9,5.75748,584,1809
603,1 206 248,9,5.75748,910,1809
603,1 214 229,9,5.75748,888,1809
603,1 12 112,9,5.7608,250,1809
603,1 12 175,9,5.7608,376,1809
603,1 20 163,9,5.7608,368,1809
603,1 20 224,9,5.7608,490,1809
603,1 21 219,9,5.7608,482,1809
603,1 22 211,9,5.7608,468,1809
603,1 31 176,9,5.7608,416,1809
603,1 35 97,9,5.7608,266,1809
603,1 37 137,9,5.7608,350,1809
603,1 40 64,9,5.7608,210,1809
603,1 41 183,9,5.7608,450,1809
603,1 46 74,9,5.7608,242,1809
603,1 50 270,9,5.7608,642,1809
603,1 70 237,9,5.7608,616,1809
603,1 76 179,9,5.7608,512,1809
603,1 78 250,9,5.7608,658,1809
603,1 90 285,9,5.7608,752,1809
603,1 111 294,9,5.7608,812,1809
603,1 118 290,9,5.7608,818,1809
603,1 119 196,9,5.7608,632,1809
603,1 123 189,9,5.7608,626,1809
603,1 126 205,9,5.7608,664,1809
603,1 131 220,9,5.7608,704,1809
603,1 154 209,9,5.7608,728,1809
603,1 186 286,9,5.7608,946,1809
603,1 197 237,9,5.7608,870,1809
603,1 207 287,9,5.7608,990,1809
603,1 208 243,9,5.7608,904,1809
603,1 210 251,9,5.7608,924,1809
603,1 211 230,9,5.7608,884,1809
603,1 214 278,9,5.7608,986,1809
603,1 10 176,9,5.76412,374,1809
603,1 10 223,9,5.76412,468,1809
603,1 13 225,9,5.76412,478,1809
603,1 14 163,9,5.76412,356,1809
603,1 14 180,9,5.76412,390,1809
603,1 21 154,9,5.76412,352,1809
603,1 25 85,9,5.76412,222,1809
603,1 25 187,9,5.76412,426,1809
603,1 29 69,9,5.76412,198,1809
603,1 29 99,9,5.76412,258,1809
603,1 30 266,9,5.76412,594,1809
